source,id,description,severity,action
suricata,10.47.4.208,Заблокирован: 1063 алертов,high,blocked
suricata,10.128.0.225,Заблокирован: 989 алертов,high,blocked
suricata,10.128.0.233,Заблокирован: 954 алертов,high,blocked
suricata,10.47.5.20,Заблокирован: 948 алертов,high,blocked
suricata,10.192.0.223,Заблокирован: 929 алертов,high,blocked
suricata,10.47.44.68,Заблокирован: 901 алертов,high,blocked
suricata,172.16.35.6,Заблокирован: 880 алертов,high,blocked
suricata,10.47.7.153,Заблокирован: 873 алертов,high,blocked
suricata,10.47.23.81,Заблокирован: 871 алертов,high,blocked
suricata,172.16.37.6,Заблокирован: 867 алертов,high,blocked
suricata,10.10.1.135,Заблокирован: 866 алертов,high,blocked
suricata,172.16.36.6,Заблокирован: 859 алертов,high,blocked
suricata,10.243.77.103,Заблокирован: 854 алертов,high,blocked
suricata,172.16.32.6,Заблокирован: 841 алертов,high,blocked
suricata,10.150.0.20,Заблокирован: 839 алертов,high,blocked
suricata,172.16.31.6,Заблокирован: 836 алертов,high,blocked
suricata,10.47.1.151,Заблокирован: 835 алертов,high,blocked
suricata,10.10.4.66,Заблокирован: 812 алертов,high,blocked
suricata,172.16.38.77,Заблокирован: 800 алертов,high,blocked
suricata,172.16.37.77,Заблокирован: 791 алертов,high,blocked
suricata,172.16.38.6,Заблокирован: 785 алертов,high,blocked
suricata,10.47.1.153,Заблокирован: 783 алертов,high,blocked
suricata,72.21.81.200,Заблокирован: 776 алертов,high,blocked
suricata,172.16.33.77,Заблокирован: 758 алертов,high,blocked
suricata,10.10.2.200,Заблокирован: 748 алертов,high,blocked
suricata,10.47.2.153,Заблокирован: 745 алертов,high,blocked
suricata,172.16.31.77,Заблокирован: 730 алертов,high,blocked
suricata,172.16.34.6,Заблокирован: 714 алертов,high,blocked
suricata,10.128.0.214,Заблокирован: 692 алертов,high,blocked
suricata,10.47.8.155,Заблокирован: 690 алертов,high,blocked
suricata,10.128.0.224,Заблокирован: 688 алертов,high,blocked
suricata,10.47.42.10,Заблокирован: 687 алертов,high,blocked
suricata,10.47.3.154,Заблокирован: 684 алертов,high,blocked
suricata,172.16.36.77,Заблокирован: 674 алертов,high,blocked
suricata,10.0.0.100,Заблокирован: 673 алертов,high,blocked
suricata,10.47.24.25,Заблокирован: 664 алертов,high,blocked
suricata,10.187.167.217,Заблокирован: 648 алертов,high,blocked
suricata,172.16.34.77,Заблокирован: 647 алертов,high,blocked
suricata,172.16.33.6,Заблокирован: 645 алертов,high,blocked
suricata,10.192.23.23,Заблокирован: 643 алертов,high,blocked
suricata,10.47.8.153,Заблокирован: 640 алертов,high,blocked
suricata,10.47.3.20,Заблокирован: 616 алертов,high,blocked
suricata,10.47.44.10,Заблокирован: 599 алертов,high,blocked
suricata,10.192.0.232,Заблокирован: 581 алертов,high,blocked
suricata,172.16.35.77,Заблокирован: 579 алертов,high,blocked
suricata,172.16.27.74,Заблокирован: 571 алертов,high,blocked
suricata,10.128.0.236,Заблокирован: 561 алертов,high,blocked
suricata,10.128.0.244,Заблокирован: 560 алертов,high,blocked
suricata,10.192.172.172,Заблокирован: 558 алертов,high,blocked
